published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-02-19,213.7,225.4,213.7,220.0,0.92,219012.0,48608772.5,0
2025-02-20,215.6,224.0,215.6,218.4,-0.73,114874.0,25216722.2,0
2025-02-21,215.6,224.0,215.6,218.4,-0.73,114874.0,25216722.2,0
2025-02-22,215.6,224.0,215.6,218.4,-0.73,114874.0,25216722.2,0
2025-02-23,215.0,226.0,211.0,222.5,1.88,215378.0,47673467.6,0
2025-02-24,225.0,226.0,220.6,222.0,-0.22,178974.0,40036605.5,0
2025-02-25,222.0,225.9,219.0,222.1,0.05,128913.0,28470049.6,0
2025-02-26,222.0,225.9,219.0,222.1,0.05,128913.0,28470049.6,0
2025-02-27,226.5,238.0,226.0,229.0,3.11,266254.0,60888635.2,0
2025-02-28,226.5,238.0,226.0,229.0,3.11,266254.0,60888635.2,0
2025-03-01,226.5,238.0,226.0,229.0,3.11,266254.0,60888635.2,0
2025-03-02,233.5,234.5,229.0,233.5,1.97,330159.0,76276429.3,0
2025-03-03,235.0,237.9,229.1,229.2,-1.84,250979.0,58176144.7,0
2025-03-04,224.7,233.5,224.7,226.2,-1.31,208337.0,47438233.1,0
2025-03-05,225.5,227.0,221.2,221.2,-2.21,168501.0,37580768.4,0
2025-03-06,224.0,224.9,221.0,222.0,0.36,127070.0,28227707.1,0
2025-03-07,224.0,224.9,221.0,222.0,0.36,127070.0,28227707.1,0
2025-03-08,224.0,224.9,221.0,222.0,0.36,127070.0,28227707.1,0
2025-03-09,222.0,223.0,217.6,218.0,-1.8,138742.0,30463037.5,0
2025-03-10,222.0,226.0,216.2,218.0,0.0,207706.0,45230018.4,0
2025-03-11,218.1,220.0,215.4,216.0,-0.92,76434.0,16596372.1,0
2025-03-12,216.2,222.0,216.1,220.0,1.85,182469.0,39998634.3,0
2025-03-13,216.2,222.0,216.1,220.0,1.85,182469.0,39998634.3,0
2025-03-14,216.2,222.0,216.1,220.0,1.85,182469.0,39998634.3,0
2025-03-15,216.2,222.0,216.1,220.0,1.85,182469.0,39998634.3,0
2025-03-16,224.3,224.3,215.5,217.7,-1.05,74085.0,16051988.2,0
2025-03-17,217.7,221.0,215.1,216.1,-0.73,74714.0,16229530.0,0
2025-03-18,218.0,219.0,215.1,215.6,-0.23,41724.0,9005693.4,0
2025-03-19,215.0,217.0,213.8,214.6,-0.46,77883.0,16768970.0,0
2025-03-20,212.8,215.5,211.1,211.61,-1.39,102086.0,21737890.7,0
2025-03-21,212.8,215.5,211.1,211.61,-1.39,102086.0,21737890.7,0
2025-03-22,212.8,215.5,211.1,211.61,-1.39,102086.0,21737890.7,0
2025-03-23,209.4,212.0,207.5,207.91,-1.75,94214.0,19669266.7,0
2025-03-24,208.0,212.4,206.1,210.1,1.05,80644.0,16953690.7,0
2025-03-25,214.3,214.3,206.1,206.99,-1.48,72619.0,15077447.1,0
2025-03-26,206.0,209.9,206.0,209.51,1.22,97172.0,20250855.7,0
2025-03-27,213.7,213.7,209.5,211.59,0.99,126571.0,26702095.5,0
2025-03-28,213.7,213.7,209.5,211.59,0.99,126571.0,26702095.5,0
2025-03-29,213.7,213.7,209.5,211.59,0.99,126571.0,26702095.5,0
2025-03-30,212.0,216.8,210.0,213.58,0.94,129567.0,27846712.8,0
2025-03-31,212.0,216.8,210.0,213.58,0.94,129567.0,27846712.8,0
2025-04-01,216.8,216.8,210.2,210.87,-1.27,65189.0,13801685.1,0
2025-04-02,215.0,215.0,210.1,212.39,0.72,43740.0,9258048.2,0
2025-04-03,212.0,233.0,210.1,215.61,1.52,176888.0,38427115.7,0
2025-04-04,212.0,233.0,210.1,215.61,1.52,176888.0,38427115.7,0
2025-04-05,212.0,233.0,210.1,215.61,1.52,176888.0,38427115.7,0
2025-04-06,212.0,233.0,210.1,215.61,1.52,176888.0,38427115.7,0
2025-04-07,217.0,217.0,213.0,213.17,-1.13,70903.0,15215780.5,0
2025-04-08,211.4,229.0,208.2,213.67,0.23,111787.0,23564279.1,0
2025-04-09,217.8,218.0,212.0,213.44,-0.11,45896.0,9829574.0,0
2025-04-10,215.0,216.6,212.8,214.03,0.28,62641.0,13410780.4,0
2025-04-11,215.0,216.6,212.8,214.03,0.28,62641.0,13410780.4,0
2025-04-12,215.0,216.6,212.8,214.03,0.28,62641.0,13410780.4,0
2025-04-13,213.0,216.9,210.8,211.51,-1.18,109321.0,23222059.4,0
2025-04-14,213.0,216.9,210.8,211.51,-1.18,109321.0,23222059.4,0
2025-04-15,215.7,215.7,211.4,212.79,0.61,69426.0,14805064.0,0
2025-04-16,217.0,217.0,210.0,212.56,-0.11,31308.0,6662656.0,0
2025-04-17,216.0,216.7,212.1,215.19,1.24,88087.0,18926645.6,0
2025-04-18,216.0,216.7,212.1,215.19,1.24,88087.0,18926645.6,0
2025-04-19,216.0,216.7,212.1,215.19,1.24,88087.0,18926645.6,0
2025-04-20,219.4,223.5,215.0,216.29,0.51,114711.0,24957288.5,0
2025-04-21,220.0,220.0,211.0,212.76,-1.63,154754.0,32934104.6,0
2025-04-22,213.0,213.9,209.0,211.52,-0.58,87977.0,18543053.2,0
2025-04-23,210.3,213.0,204.9,208.28,-1.53,390865.0,80877641.8,0
2025-04-24,208.0,219.5,204.9,209.48,0.58,177721.0,36951221.1,0
2025-04-25,208.0,219.5,204.9,209.48,0.58,177721.0,36951221.1,0
2025-04-26,208.0,219.5,204.9,209.48,0.58,177721.0,36951221.1,0
2025-04-27,210.0,210.0,206.2,207.01,-1.18,103414.0,21456060.7,0
2025-04-28,207.0,208.0,204.0,204.99,-0.98,122811.0,25249693.5,0
2025-04-29,209.0,209.0,203.0,203.56,-0.7,153364.0,31294815.7,0
2025-04-30,207.6,207.6,201.0,201.61,-0.96,150280.0,30397349.3,0
2025-05-01,207.6,207.6,201.0,201.61,-0.96,150280.0,30397349.3,0
2025-05-02,207.6,207.6,201.0,201.61,-0.96,150280.0,30397349.3,0
2025-05-03,207.6,207.6,201.0,201.61,-0.96,150280.0,30397349.3,0
2025-05-04,201.0,206.0,201.0,204.1,1.24,86657.0,17661715.3,0
2025-05-05,205.5,205.5,201.4,203.51,-0.29,49319.0,10018239.7,0
2025-05-06,204.0,204.0,202.1,202.91,-0.29,93716.0,19030795.3,0
2025-05-07,201.4,214.0,201.4,209.82,3.41,143262.0,29582785.5,0
2025-05-08,214.0,214.0,206.2,207.07,-1.31,102310.0,21288491.7,0
2025-05-09,214.0,214.0,206.2,207.07,-1.31,102310.0,21288491.7,0
2025-05-10,214.0,214.0,206.2,207.07,-1.31,102310.0,21288491.7,0
2025-05-11,210.0,210.0,205.0,205.24,-0.88,68493.0,14162377.9,0
2025-05-12,210.0,210.0,205.0,205.24,-0.88,68493.0,14162377.9,0
2025-05-13,208.0,208.6,204.1,205.4,0.08,91143.0,18720798.1,0
2025-05-14,205.4,208.7,204.1,204.22,-0.57,97565.0,20029973.3,0
2025-05-15,204.1,206.0,203.0,203.65,-0.28,50873.0,10366419.8,0
2025-05-16,204.1,206.0,203.0,203.65,-0.28,50873.0,10366419.8,0
2025-05-17,204.1,206.0,203.0,203.65,-0.28,50873.0,10366419.8,0
2025-05-18,205.0,206.0,202.1,203.62,-0.01,122703.0,24978370.0,0
2025-05-19,203.2,206.9,203.0,205.69,1.02,73052.0,14973998.8,0
