Date,Stock,Action,Qty,Price,Total_Amount,Profit_Loss,Reason
8/5/2022,NHPC,SELL,194,262,50828,3104,Trailing Stop (7% drop)
8/5/2022,NABIL,SELL,56,819.7,45903.2,-576.8,Trailing Stop (7% drop)
8/5/2022,HPPL,BUY,137,397.1,-54402.7,0,Trend Entry
8/7/2022,HURJA,BUY,189,289,-54621,0,Trend Entry
8/8/2022,EBL,BUY,93,509,-47337,0,Trend Entry
8/9/2022,KKHC,SELL,227,229.3,52051.1,-2882.9,Trailing Stop (7% drop)
8/9/2022,PROFL,SELL,28,292,8176,-616,Trailing Stop (7% drop)
8/11/2022,HURJA,SELL,189,264,49896,-4725,Trailing Stop (7% drop)
8/15/2022,JBBL,BUY,168,316,-53088,0,Trend Entry
8/16/2022,ICFC,BUY,98,530,-51940,0,Trend Entry
8/17/2022,KKHC,BUY,24,230,-5520,0,Trend Entry
8/21/2022,HPPL,SELL,137,373.7,51196.9,-3205.8,Trailing Stop (7% drop)
8/21/2022,AKJCL,BUY,232,220.1,-51063.2,0,Trend Entry
8/26/2022,ICFC,SELL,98,503,49294,-2646,Trailing Stop (7% drop)
8/28/2022,KKHC,SELL,24,208,4992,-528,Trailing Stop (7% drop)
8/31/2022,JBBL,SELL,168,286,48048,-5040,Trailing Stop (7% drop)
8/31/2022,AKJCL,SELL,232,204,47328,-3735.2,Trailing Stop (7% drop)
9/20/2022,EBL,SELL,93,471.6,43858.8,-3478.2,Trailing Stop (7% drop)
10/12/2022,NABIL,BUY,60,794,-47640,0,Trend Entry
10/17/2022,EBL,BUY,96,504,-48384,0,Trend Entry
10/20/2022,ADBL,BUY,152,316,-48032,0,Trend Entry
10/23/2022,SANIMA,BUY,184,263.4,-48465.6,0,Trend Entry
11/23/2022,MEGA,SELL,301,220,66220,-5117,Trailing Stop (7% drop)
11/23/2022,PCBL,BUY,288,230,-66240,0,Trend Entry
11/29/2022,EBL,SELL,96,471,45216,-3168,Trailing Stop (7% drop)
11/29/2022,ICFC,BUY,101,455,-45955,0,Trend Entry
12/5/2022,SANIMA,SELL,184,242,44528,-3937.6,Trailing Stop (7% drop)
12/5/2022,LICN,BUY,31,1445,-44795,0,Trend Entry
12/11/2022,NABIL,SELL,60,846,50760,3120,Trailing Stop (7% drop)
12/11/2022,ICFC,SELL,101,416.1,42026.1,-3928.9,Trailing Stop (7% drop)
12/13/2022,JOSHI,BUY,330,188.7,-62271,0,Trend Entry
12/18/2022,PCBL,SELL,288,213.8,61574.4,-4665.6,Trailing Stop (7% drop)
12/29/2022,CIT,BUY,32,1972,-63104,0,Trend Entry
1/1/2023,DHPL,BUY,143,202.3,-28928.9,0,Trend Entry
1/9/2023,JOSHI,SELL,330,240.9,79497,17226,Take Profit (25% gain)
1/9/2023,AKJCL,BUY,304,237,-72048,0,Trend Entry
1/10/2023,ICFC,BUY,15,499,-7485,0,Trend Entry
1/19/2023,LICN,SELL,31,1530,47430,2635,Trailing Stop (7% drop)
1/19/2023,NICA,BUY,56,845,-47320,0,Trend Entry
1/23/2023,ADBL,SELL,152,312.1,47439.2,-592.8,Trailing Stop (7% drop)
1/23/2023,HPPL,BUY,146,325,-47450,0,Trend Entry
1/30/2023,CIT,SELL,32,2061,65952,2848,Trailing Stop (7% drop)
1/30/2023,JOSHI,BUY,250,264,-66000,0,Trend Entry
1/31/2023,ICFC,SELL,15,456,6840,-645,Trailing Stop (7% drop)
2/5/2023,AKJCL,SELL,304,235,71440,-608,Trailing Stop (7% drop)
2/5/2023,HPPL,SELL,146,326.4,47654.4,204.4,Trailing Stop (7% drop)
2/6/2023,EBL,BUY,131,521,-68251,0,Trend Entry
2/7/2023,LBBL,BUY,157,367,-57619,0,Trend Entry
2/15/2023,JOSHI,SELL,250,291.9,72975,6975,Trailing Stop (7% drop)
2/16/2023,DHPL,SELL,143,228,32604,3675.1,Trailing Stop (7% drop)
2/20/2023,LBBL,SELL,157,345,54165,-3454,Trailing Stop (7% drop)
2/22/2023,DHPL,BUY,284,241,-68444,0,Trend Entry
2/23/2023,EBL,SELL,131,511,66941,-1310,Trailing Stop (7% drop)
3/5/2023,DHPL,SELL,284,223,63332,-5112,Trailing Stop (7% drop)
3/13/2023,NICA,SELL,56,777,43512,-3808,Trailing Stop (7% drop)
3/28/2023,CIT,BUY,32,2057,-65824,0,Trend Entry
4/5/2023,SANIMA,BUY,275,240,-66000,0,Trend Entry
4/16/2023,NMB,BUY,284,235,-66740,0,Trend Entry
4/19/2023,EBL,BUY,130,511.5,-66495,0,Trend Entry
5/31/2023,NMB,SELL,284,221,62764,-3976,Trailing Stop (7% drop)
6/1/2023,JOSHI,BUY,219,286.6,-62765.4,0,Trend Entry
6/8/2023,JOSHI,SELL,219,270,59130,-3635.4,Trailing Stop (7% drop)
6/8/2023,MFIL,BUY,135,437,-58995,0,Trend Entry
6/19/2023,CIT,SELL,32,2598,83136,17312,Take Profit (25% gain)
6/19/2023,BARUN,BUY,258,280,-72240,0,Trend Entry
6/20/2023,JBBL,BUY,37,299,-11063,0,Trend Entry
6/21/2023,BARUN,SELL,258,257,66306,-5934,Trailing Stop (7% drop)
6/21/2023,CIT,BUY,25,2574.1,-64352.5,0,Trend Entry
6/27/2023,MFIL,SELL,135,550,74250,15255,Take Profit (25% gain)
6/27/2023,HURJA,BUY,264,287,-75768,0,Trend Entry
7/2/2023,JBBL,SELL,37,288.1,10659.7,-403.3,Trailing Stop (7% drop)
7/2/2023,ADBL,BUY,48,232.5,-11160,0,Trend Entry
7/4/2023,CIT,SELL,25,2139,53475,-10877.5,Trailing Stop (7% drop)
7/4/2023,HURJA,SELL,264,264.6,69854.4,-5913.6,Trailing Stop (7% drop)
7/4/2023,MFIL,BUY,129,538,-69402,0,Trend Entry
7/5/2023,PROFL,BUY,117,461,-53937,0,Trend Entry
7/10/2023,PROFL,SELL,117,428,50076,-3861,Trailing Stop (7% drop)
7/10/2023,ICFC,BUY,95,527,-50065,0,Trend Entry
7/23/2023,SANIMA,SELL,275,301,82775,16775,Take Profit (25% gain)
7/23/2023,MLBL,BUY,202,370.5,-74841,0,Trend Entry
7/24/2023,PCBL,BUY,38,210,-7980,0,Trend Entry
7/27/2023,MFIL,SELL,129,525.5,67789.5,-1612.5,Trailing Stop (7% drop)
7/27/2023,ICFC,SELL,95,499,47405,-2660,Trailing Stop (7% drop)
7/27/2023,MLBL,SELL,202,340.9,68861.8,-5979.2,Trailing Stop (7% drop)
7/27/2023,PROFL,BUY,163,431,-70253,0,Trend Entry
7/30/2023,ADBL,SELL,48,246.8,11846.4,686.4,Trailing Stop (7% drop)
7/31/2023,SANIMA,BUY,242,288.8,-69889.6,0,Trend Entry
8/1/2023,PROFL,SELL,163,396.1,64564.3,-5688.7,Trailing Stop (7% drop)
8/3/2023,NMB,BUY,289,239,-69071,0,Trend Entry
8/6/2023,PCBL,SELL,38,193.3,7345.4,-634.6,Trailing Stop (7% drop)
8/6/2023,ADBL,BUY,221,265,-58565,0,Trend Entry
9/3/2023,NMB,SELL,289,221.3,63955.7,-5115.3,Trailing Stop (7% drop)
9/11/2023,NICA,BUY,80,798.1,-63848,0,Trend Entry
9/18/2023,EBL,SELL,130,583,75790,9295,Trailing Stop (7% drop)
9/19/2023,BARUN,BUY,262,255,-66810,0,Trend Entry
9/21/2023,MFIL,BUY,17,540,-9180,0,Trend Entry
9/25/2023,BARUN,SELL,262,233.9,61281.8,-5528.2,Trailing Stop (7% drop)
9/25/2023,ICFC,BUY,126,485,-61110,0,Trend Entry
10/1/2023,SANIMA,SELL,242,277.2,67082.4,-2807.2,Trailing Stop (7% drop)
10/1/2023,AHPC,BUY,284,223.8,-63559.2,0,Trend Entry
10/2/2023,NICA,SELL,80,761.5,60920,-2928,Trailing Stop (7% drop)
10/2/2023,KSBBL,BUY,200,320.5,-64100,0,Trend Entry
10/9/2023,AHPC,SELL,284,214.3,60861.2,-2698,Trailing Stop (7% drop)
10/9/2023,HPPL,BUY,261,233.8,-61021.8,0,Trend Entry
10/12/2023,ADBL,SELL,221,248.3,54874.3,-3690.7,Trailing Stop (7% drop)
10/12/2023,ICFC,SELL,126,454.1,57216.6,-3893.4,Trailing Stop (7% drop)
10/16/2023,MFIL,SELL,17,498,8466,-714,Trailing Stop (7% drop)
10/16/2023,KSBBL,SELL,200,296.5,59300,-4800,Trailing Stop (7% drop)
10/18/2023,KKHC,BUY,328,181,-59368,0,Trend Entry
10/19/2023,EDBL,BUY,184,318.8,-58659.2,0,Trend Entry
10/30/2023,KKHC,SELL,328,168,55104,-4264,Trailing Stop (7% drop)
10/31/2023,HPPL,SELL,261,213,55593,-5428.8,Trailing Stop (7% drop)
11/6/2023,PCBL,BUY,312,183.3,-57189.6,0,Trend Entry
11/9/2023,EDBL,SELL,184,295,54280,-4379.2,Trailing Stop (7% drop)
11/27/2023,KKHC,BUY,297,193.7,-57528.9,0,Trend Entry
11/28/2023,LBBL,BUY,146,392,-57232,0,Trend Entry
11/29/2023,MFIL,BUY,106,518.2,-54929.2,0,Trend Entry
11/30/2023,KKHC,SELL,297,176.4,52390.8,-5138.1,Trailing Stop (7% drop)
11/30/2023,CIT,BUY,26,1965,-51090,0,Trend Entry
1/1/2024,MFIL,SELL,106,523,55438,508.8,Trailing Stop (7% drop)
1/2/2024,LBBL,SELL,146,381,55626,-1606,Trailing Stop (7% drop)
1/3/2024,DHPL,BUY,319,181.5,-57898.5,0,Trend Entry
1/4/2024,AHPC,BUY,231,236.6,-54654.6,0,Trend Entry
1/7/2024,PCBL,SELL,312,195.2,60902.4,3712.8,Trailing Stop (7% drop)
1/7/2024,HURJA,BUY,220,266.8,-58696,0,Trend Entry
1/16/2024,DHPL,SELL,319,229.1,73082.9,15184.4,Take Profit (25% gain)
1/16/2024,HPPL,BUY,229,290.4,-66501.6,0,Trend Entry
1/17/2024,PROFL,BUY,26,339,-8814,0,Trend Entry
1/21/2024,AHPC,SELL,231,295.9,68352.9,13698.3,Take Profit (25% gain)
1/21/2024,JOSHI,BUY,261,258,-67338,0,Trend Entry
1/22/2024,CIT,SELL,26,2125,55250,4160,Trailing Stop (7% drop)
1/22/2024,NHPC,BUY,318,177,-56286,0,Trend Entry
1/24/2024,HURJA,SELL,220,284,62480,3784,Trailing Stop (7% drop)
1/24/2024,HPPL,SELL,229,279,63891,-2610.6,Trailing Stop (7% drop)
1/24/2024,DHPL,BUY,303,212.8,-64478.4,0,Trend Entry
1/25/2024,EBL,BUY,116,530.1,-61491.6,0,Trend Entry
2/4/2024,DHPL,SELL,303,209,63327,-1151.4,Trailing Stop (7% drop)
2/4/2024,BARUN,BUY,226,277.8,-62782.8,0,Trend Entry
2/13/2024,JOSHI,SELL,261,324.9,84798.9,17460.9,Take Profit (25% gain)
2/13/2024,KKHC,BUY,276,243.9,-67316.4,0,Trend Entry
2/14/2024,JOSHI,BUY,51,357.3,-18222.3,0,Trend Entry
2/18/2024,NHPC,SELL,318,162,51516,-4770,Trailing Stop (7% drop)
2/18/2024,AKJCL,BUY,214,241.9,-51766.6,0,Trend Entry
2/22/2024,PROFL,SELL,26,314.3,8171.8,-642.2,Trailing Stop (7% drop)
2/22/2024,BARUN,SELL,226,253.1,57200.6,-5582.2,Trailing Stop (7% drop)
2/22/2024,KKHC,SELL,276,249.9,68972.4,1656,Trailing Stop (7% drop)
2/22/2024,AKJCL,SELL,214,224.7,48085.8,-3680.8,Trailing Stop (7% drop)
2/25/2024,EBL,SELL,116,499,57884,-3607.6,Trailing Stop (7% drop)
2/25/2024,JOSHI,SELL,51,380,19380,1157.7,Trailing Stop (7% drop)
2/25/2024,ICFC,BUY,131,493.5,-64648.5,0,Trend Entry
2/26/2024,JOSHI,BUY,164,397,-65108,0,Trend Entry
2/29/2024,JOSHI,SELL,164,350.9,57547.6,-7560.4,Trailing Stop (7% drop)
3/3/2024,ICFC,SELL,131,464,60784,-3864.5,Trailing Stop (7% drop)
3/4/2024,ICFC,BUY,123,501,-61623,0,Trend Entry
3/12/2024,CIT,BUY,28,2163,-60564,0,Trend Entry
3/14/2024,SANIMA,BUY,253,245,-61985,0,Trend Entry
3/17/2024,NMB,BUY,319,194.3,-61981.7,0,Trend Entry
3/27/2024,NMB,SELL,319,180.3,57515.7,-4466,Trailing Stop (7% drop)
4/7/2024,EDBL,BUY,167,356,-59452,0,Trend Entry
4/22/2024,ICFC,SELL,123,492,60516,-1107,Trailing Stop (7% drop)
4/25/2024,PROFL,BUY,179,328,-58712,0,Trend Entry
5/5/2024,PROFL,SELL,179,330.1,59087.9,375.9,Trailing Stop (7% drop)
5/5/2024,KSBBL,BUY,164,364,-59696,0,Trend Entry
6/18/2024,SANIMA,SELL,253,248.1,62769.3,784.3,Trailing Stop (7% drop)
6/18/2024,HPPL,BUY,232,267.5,-62060,0,Trend Entry
7/4/2024,CIT,SELL,28,1920,53760,-6804,Trailing Stop (7% drop)
