Date,Cash,Total_Portfolio_Value
2023-02-11,312.85000000002765,500214.95000000007
2023-02-12,312.85000000002765,488737.15
2023-02-13,312.85000000002765,488737.15
2023-02-14,1799.3500000000276,485008.15
2023-02-15,1497.7500000000273,484850.95
2023-02-16,132.25000000002728,482078.85
2023-02-17,132.25000000002728,480713.35
2023-02-18,132.25000000002728,480713.35
2023-02-19,132.25000000002728,480713.35
2023-02-20,32792.25000000003,445801.75
2023-02-21,1921.6500000000306,509332.35000000003
2023-02-22,1921.6500000000306,486350.35
2023-02-23,1921.6500000000306,480628.55000000005
2023-02-24,1921.6500000000306,480628.55000000005
2023-02-25,1921.6500000000306,480628.55000000005
2023-02-26,1921.6500000000306,481190.55000000005
2023-02-27,1921.6500000000306,480411.65
2023-02-28,1576.6500000000306,479757.75
2023-03-01,855.1500000000306,477116.95000000007
2023-03-02,855.1500000000306,472799.45
2023-03-03,855.1500000000306,472799.45
2023-03-04,855.1500000000306,472799.45
2023-03-05,240.4500000000262,471534.75
2023-03-06,240.4500000000262,470920.05000000005
2023-03-07,240.4500000000262,473015.05000000005
2023-03-08,240.4500000000262,473015.05000000005
2023-03-09,1515.4500000000262,480531.95
2023-03-10,1515.4500000000262,481806.95
2023-03-11,1515.4500000000262,481806.95
2023-03-12,1515.4500000000262,477057.15
2023-03-13,1667.150000000027,472660.55000000005
2023-03-14,1667.150000000027,474040.05000000005
2023-03-15,443.6500000000269,473077.25
2023-03-16,443.6500000000269,471925.55000000005
2023-03-17,443.6500000000269,471925.55000000005
2023-03-18,443.6500000000269,471925.55000000005
2023-03-19,443.6500000000269,471873.15
2023-03-20,443.6500000000269,474853.65
2023-03-21,443.6500000000269,474853.65
2023-03-22,443.6500000000269,472502.15
2023-03-23,70.15000000002692,471433.55000000005
2023-03-24,70.15000000002692,471060.05000000005
2023-03-25,70.15000000002692,471060.05000000005
2023-03-26,746.6500000000269,468043.65
2023-03-27,746.6500000000269,470822.55000000005
2023-03-28,2032.3500000000272,470871.25
2023-03-29,2032.3500000000272,470473.15
2023-03-30,2032.3500000000272,469946.75
2023-03-31,2032.3500000000272,469946.75
2023-04-01,2032.3500000000272,469946.75
2023-04-02,2032.3500000000272,465848.45
2023-04-03,338.85000000002765,465028.25
2023-04-04,746.8500000000276,462849.95000000007
2023-04-05,746.8500000000276,463565.85000000003
2023-04-06,108.35000000002765,462983.85000000003
2023-04-07,108.35000000002765,462345.35000000003
2023-04-08,108.35000000002765,462345.35000000003
2023-04-09,448.65000000003783,458232.65
2023-04-10,448.65000000003783,459081.35000000003
2023-04-11,448.65000000003783,462468.05000000005
2023-04-12,1263.7500000000364,474717.65
2023-04-13,1263.7500000000364,470335.35000000003
2023-04-14,1263.7500000000364,470335.35000000003
2023-04-15,1263.7500000000364,470335.35000000003
2023-04-16,1263.7500000000364,469429.15
2023-04-17,820.7500000000364,466856.35000000003
2023-04-18,820.7500000000364,466378.85000000003
2023-04-19,820.7500000000364,467634.25
2023-04-20,820.7500000000364,466343.55000000005
2023-04-21,820.7500000000364,466343.55000000005
2023-04-22,820.7500000000364,466343.55000000005
2023-04-23,249.25000000003638,463376.85000000003
2023-04-24,1293.2500000000364,463166.45
2023-04-25,1293.2500000000364,467299.05000000005
2023-04-26,1293.2500000000364,465325.65
2023-04-27,20.950000000036653,466007.05000000005
2023-04-28,20.950000000036653,464734.75000000006
2023-04-29,20.950000000036653,464734.75000000006
2023-04-30,20.950000000036653,461368.55000000005
2023-05-01,20.950000000036653,461368.55000000005
2023-05-02,79.45000000003711,460602.75
2023-05-03,964.4500000000407,457998.45000000007
2023-05-04,964.4500000000407,461599.45000000007
2023-05-05,964.4500000000407,461599.45000000007
2023-05-06,964.4500000000407,461599.45000000007
2023-05-07,964.4500000000407,458950.35000000003
2023-05-08,770.9500000000407,456421.25000000006
2023-05-09,770.9500000000407,457664.75000000006
2023-05-10,770.9500000000407,457800.05000000005
2023-05-11,770.9500000000407,456853.35000000003
2023-05-12,770.9500000000407,456853.35000000003
2023-05-13,770.9500000000407,456853.35000000003
2023-05-14,1273.4500000000407,455754.55000000005
2023-05-15,1273.4500000000407,457037.75
2023-05-16,1273.4500000000407,457346.05000000005
2023-05-17,1214.9500000000412,459881.15
2023-05-18,1214.9500000000412,463998.95000000007
2023-05-19,1214.9500000000412,463998.95000000007
2023-05-20,1214.9500000000412,463998.95000000007
2023-05-21,1214.9500000000412,464584.35000000003
2023-05-22,1214.9500000000412,464097.15
2023-05-23,567.9500000000407,471004.95000000007
2023-05-24,567.9500000000407,470068.65
2023-05-25,567.9500000000407,470068.65
2023-05-26,567.9500000000407,470068.65
2023-05-27,567.9500000000407,470068.65
2023-05-28,719.4500000000412,466415.15
2023-05-29,719.4500000000412,466566.65
2023-05-30,240.45000000004075,460870.45000000007
2023-05-31,682.9500000000407,455674.15
2023-06-01,682.9500000000407,457091.15
2023-06-02,682.9500000000407,457091.15
2023-06-03,682.9500000000407,457091.15
2023-06-04,682.9500000000407,463659.95000000007
2023-06-05,682.9500000000407,460449.85000000003
2023-06-06,682.9500000000407,462823.95000000007
2023-06-07,682.9500000000407,464129.65
2023-06-08,682.9500000000407,466287.45000000007
2023-06-09,682.9500000000407,466287.45000000007
2023-06-10,682.9500000000407,466287.45000000007
2023-06-11,208.95000000004075,475851.35000000003
2023-06-12,228.3500000000422,475352.35000000003
2023-06-13,228.3500000000422,478729.35000000003
2023-06-14,228.3500000000422,477964.35000000003
2023-06-15,228.3500000000422,476905.85000000003
2023-06-16,228.3500000000422,476905.85000000003
2023-06-17,228.3500000000422,476905.85000000003
2023-06-18,228.3500000000422,480005.15
2023-06-19,228.3500000000422,484813.25
2023-06-20,135.3500000000422,481724.35000000003
2023-06-21,135.3500000000422,478096.95000000007
2023-06-22,1894.3500000000422,474300.95000000007
2023-06-23,1894.3500000000422,476059.95000000007
2023-06-24,1894.3500000000422,476059.95000000007
2023-06-25,1894.3500000000422,486834.75000000006
2023-06-26,1352.8500000000422,490146.05000000005
2023-06-27,1352.8500000000422,494661.65
2023-06-28,1352.8500000000422,488131.45000000007
2023-06-29,1352.8500000000422,488131.45000000007
2023-06-30,1352.8500000000422,488131.45000000007
2023-07-01,1352.8500000000422,488131.45000000007
2023-07-02,469.8500000000531,482578.45000000007
2023-07-03,96.35000000005311,480523.55000000005
2023-07-04,1468.8500000000531,479372.85000000003
2023-07-05,2441.850000000053,474295.85000000003
2023-07-06,2441.850000000053,478010.85000000003
2023-07-07,2441.850000000053,478010.85000000003
2023-07-08,2441.850000000053,478010.85000000003
2023-07-09,2441.850000000053,478936.85000000003
2023-07-10,2441.850000000053,477851.35000000003
2023-07-11,476.8500000000531,481798.35000000003
2023-07-12,476.8500000000531,483187.35000000003
2023-07-13,476.8500000000531,480806.45000000007
2023-07-14,476.8500000000531,480806.45000000007
2023-07-15,476.8500000000531,480806.45000000007
2023-07-16,2554.3500000000495,478980.35000000003
2023-07-17,1907.3500000000495,487165.85000000003
2023-07-18,1818.8500000000495,485756.75
2023-07-19,8109.8500000000495,481209.85000000003
2023-07-20,458.3500000000495,495751.85000000003
2023-07-21,458.3500000000495,488100.35000000003
2023-07-22,458.3500000000495,488100.35000000003
2023-07-23,1232.3500000000495,492651.85000000003
2023-07-24,1232.3500000000495,490004.85000000003
2023-07-25,11804.35000000005,476955.85000000003
2023-07-26,1304.3500000000495,497638.55000000005
2023-07-27,764.3500000000495,484607.35000000003
2023-07-28,764.3500000000495,484067.35000000003
2023-07-29,764.3500000000495,484067.35000000003
2023-07-30,30.850000000049477,482401.45000000007
2023-07-31,896.3500000000495,481203.85000000003
2023-08-01,354.8500000000495,479593.95000000007
2023-08-02,354.8500000000495,479481.85000000003
2023-08-03,32.35000000004948,478775.75000000006
2023-08-04,32.35000000004948,478453.25000000006
2023-08-05,32.35000000004948,478453.25000000006
2023-08-06,4089.8500000000495,472311.85000000003
2023-08-07,219.85000000004948,480716.35000000003
2023-08-08,219.85000000004948,474222.25000000006
2023-08-09,219.85000000004948,477196.35000000003
2023-08-10,219.85000000004948,477404.35000000003
2023-08-11,219.85000000004948,477404.35000000003
2023-08-12,219.85000000004948,477404.35000000003
2023-08-13,219.85000000004948,477419.55000000005
2023-08-14,219.85000000004948,477057.05000000005
2023-08-15,1146.8500000000477,473467.75000000006
2023-08-16,288.85000000004766,474025.35000000003
2023-08-17,288.85000000004766,473709.65
2023-08-18,288.85000000004766,473709.65
2023-08-19,288.85000000004766,473709.65
2023-08-20,288.85000000004766,472591.85000000003
2023-08-21,1128.8500000000477,471453.85000000003
2023-08-22,1128.8500000000477,473876.85000000003
2023-08-23,1128.8500000000477,475416.85000000003
2023-08-24,1128.8500000000477,472795.85000000003
2023-08-25,1128.8500000000477,472795.85000000003
2023-08-26,1128.8500000000477,472795.85000000003
2023-08-27,1128.8500000000477,471859.85000000003
2023-08-28,1128.8500000000477,472199.25000000006
2023-08-29,1128.8500000000477,471787.35000000003
2023-08-30,1128.8500000000477,471706.85000000003
2023-08-31,1128.8500000000477,471706.85000000003
2023-09-01,1128.8500000000477,471706.85000000003
2023-09-02,1128.8500000000477,471706.85000000003
2023-09-03,1128.8500000000477,470045.35000000003
2023-09-04,569.3500000000477,470741.85000000003
2023-09-05,569.3500000000477,469796.85000000003
2023-09-06,569.3500000000477,469796.85000000003
2023-09-07,174.15000000005784,468624.55
2023-09-08,174.15000000005784,468229.35
2023-09-09,174.15000000005784,468229.35
2023-09-10,103.65000000005784,469238.75000000006
2023-09-11,328.65000000005784,472511.15
2023-09-12,328.65000000005784,471164.65
2023-09-13,328.65000000005784,474310.25
2023-09-14,328.65000000005784,474310.25
2023-09-15,328.65000000005784,474310.25
2023-09-16,328.65000000005784,474310.25
2023-09-17,328.65000000005784,471063.55000000005
2023-09-18,328.65000000005784,471336.45
2023-09-19,328.65000000005784,473061.95000000007
2023-09-20,328.65000000005784,473061.95000000007
2023-09-21,46.05000000005748,476732.95
2023-09-22,46.05000000005748,476450.35000000003
2023-09-23,46.05000000005748,476450.35000000003
2023-09-24,46.05000000005748,475541.45000000007
2023-09-25,46.05000000005748,474951.8500000001
2023-09-26,46.05000000005748,475300.65
2023-09-27,46.05000000005748,473839.05000000005
2023-09-28,46.05000000005748,473839.05000000005
2023-09-29,46.05000000005748,473839.05000000005
2023-09-30,46.05000000005748,473839.05000000005
2023-10-01,167.55000000005748,471525.65
2023-10-02,167.55000000005748,472244.65
2023-10-03,793.9500000000571,464880.05000000005
2023-10-04,13420.950000000057,453405.95000000007
2023-10-05,312.4500000000571,478917.95000000007
2023-10-06,312.4500000000571,465809.45000000007
2023-10-07,312.4500000000571,465809.45000000007
2023-10-08,289.9500000000571,463815.45000000007
2023-10-09,1161.4500000000571,462330.45
2023-10-10,1860.4500000000571,461564.25000000006
2023-10-11,1860.4500000000571,462870.95000000007
2023-10-12,54.4500000000553,463051.75000000006
2023-10-13,54.4500000000553,461245.75000000006
2023-10-14,54.4500000000553,461245.75000000006
2023-10-15,54.4500000000553,461245.75000000006
2023-10-16,1333.9500000000553,459205.75000000006
2023-10-17,1333.9500000000553,461336.45000000007
2023-10-18,1333.9500000000553,463614.1500000001
2023-10-19,1879.9500000000553,462490.95000000007
2023-10-20,1879.9500000000553,463036.95000000007
2023-10-21,1879.9500000000553,463036.95000000007
2023-10-22,1879.9500000000553,463036.95000000007
2023-10-23,1879.9500000000553,463036.95000000007
2023-10-24,1879.9500000000553,463036.95000000007
2023-10-25,1879.9500000000553,463036.95000000007
2023-10-26,1879.9500000000553,463036.95000000007
2023-10-27,1879.9500000000553,463036.95000000007
2023-10-28,1879.9500000000553,463036.95000000007
2023-10-29,2652.4500000000553,460523.95000000007
2023-10-30,372.4500000000553,463797.45000000007
2023-10-31,372.4500000000553,460719.45000000007
2023-11-01,3897.4500000000553,456969.6500000001
2023-11-02,174.4500000000553,463415.8500000001
2023-11-03,174.4500000000553,459692.8500000001
2023-11-04,174.4500000000553,459692.8500000001
2023-11-05,1390.9500000000553,457571.25000000006
2023-11-06,1390.9500000000553,459876.0500000001
2023-11-07,1390.9500000000553,460422.45000000007
2023-11-08,1390.9500000000553,460622.35000000003
2023-11-09,36.4500000000553,461206.65
2023-11-10,36.4500000000553,459852.15
2023-11-11,36.4500000000553,459852.15
2023-11-12,36.4500000000553,459852.15
2023-11-13,36.4500000000553,459852.15
2023-11-14,36.4500000000553,459852.15
2023-11-15,36.4500000000553,459852.15
2023-11-16,36.4500000000553,459852.15
2023-11-17,36.4500000000553,459852.15
2023-11-18,36.4500000000553,459852.15
2023-11-19,36.4500000000553,459852.15
2023-11-20,36.4500000000553,459993.95000000007
2023-11-21,147.4500000000553,459231.55000000005
2023-11-22,147.4500000000553,460089.35000000003
2023-11-23,147.4500000000553,461609.05000000005
2023-11-24,147.4500000000553,461609.05000000005
2023-11-25,147.4500000000553,461609.05000000005
2023-11-26,147.4500000000553,462883.3500000001
2023-11-27,147.4500000000553,462868.45000000007
2023-11-28,147.4500000000553,462590.45000000007
2023-11-29,147.4500000000553,462185.75000000006
2023-11-30,147.4500000000553,461100.05000000005
2023-12-01,147.4500000000553,461100.05000000005
2023-12-02,147.4500000000553,461100.05000000005
2023-12-03,3030.5500000000557,456754.95000000007
2023-12-04,840.5500000000557,462145.55000000005
2023-12-05,840.5500000000557,459778.05000000005
2023-12-06,840.5500000000557,459595.05000000005
2023-12-07,840.5500000000557,459866.05000000005
2023-12-08,840.5500000000557,459866.05000000005
2023-12-09,840.5500000000557,459866.05000000005
2023-12-10,993.5500000000538,464983.55000000005
2023-12-11,993.5500000000538,464669.05000000005
2023-12-12,216.55000000005384,466433.55000000005
2023-12-13,216.55000000005384,466324.55000000005
2023-12-14,216.55000000005384,465947.55000000005
2023-12-15,216.55000000005384,465947.55000000005
2023-12-16,216.55000000005384,465947.55000000005
2023-12-17,216.55000000005384,466887.55000000005
2023-12-18,651.5500000000538,468034.55000000005
2023-12-19,251.05000000005384,470839.05000000005
2023-12-20,3166.550000000054,468727.05000000005
2023-12-21,406.55000000005384,473135.05000000005
2023-12-22,406.55000000005384,470375.05000000005
2023-12-23,406.55000000005384,470375.05000000005
2023-12-24,2940.050000000054,466835.05000000005
2023-12-25,240.05000000005384,472068.55000000005
2023-12-26,240.05000000005384,469368.55000000005
2023-12-27,1057.5500000000538,467793.55000000005
2023-12-28,1057.5500000000538,467994.55000000005
2023-12-29,1057.5500000000538,467994.55000000005
2023-12-30,1057.5500000000538,467994.55000000005
2023-12-31,1057.5500000000538,467994.55000000005
2024-01-01,1057.5500000000538,467972.05000000005
2024-01-02,286.55000000005384,468132.55000000005
2024-01-03,286.55000000005384,467855.05000000005
2024-01-04,286.55000000005384,467414.05000000005
2024-01-05,286.55000000005384,467414.05000000005
2024-01-06,286.55000000005384,467414.05000000005
2024-01-07,1546.5500000000538,465039.55000000005
2024-01-08,1546.5500000000538,466706.05000000005
2024-01-09,1546.5500000000538,466763.05000000005
2024-01-10,1546.5500000000538,467253.55000000005
2024-01-11,1546.5500000000538,467256.55000000005
2024-01-12,1546.5500000000538,467256.55000000005
2024-01-13,1546.5500000000538,467256.55000000005
2024-01-14,711.0500000000538,469250.05000000005
2024-01-15,711.0500000000538,468414.55000000005
2024-01-16,2962.550000000054,467787.55000000005
2024-01-17,232.55000000005384,472593.55000000005
2024-01-18,172.55000000005384,470258.05000000005
2024-01-19,172.55000000005384,470198.05000000005
2024-01-20,172.55000000005384,470198.05000000005
2024-01-21,277.55000000005384,469349.05000000005
2024-01-22,1132.5500000000538,467594.05000000005
2024-01-23,2244.050000000054,467015.05000000005
2024-01-24,1570.5500000000538,468681.55000000005
2024-01-25,1570.5500000000538,468095.05000000005
2024-01-26,1570.5500000000538,468095.05000000005
2024-01-27,1570.5500000000538,468095.05000000005
2024-01-28,1570.5500000000538,468287.05000000005
2024-01-29,1570.5500000000538,468578.05000000005
2024-01-30,1570.5500000000538,468858.55000000005
2024-01-31,3.050000000053842,470123.05000000005
2024-02-01,3.050000000053842,467777.05000000005
2024-02-02,3.050000000053842,467777.05000000005
2024-02-03,3.050000000053842,467777.05000000005
2024-02-04,3.050000000053842,467625.55000000005
2024-02-05,3.050000000053842,468197.05000000005
2024-02-06,3.050000000053842,468342.55000000005
2024-02-07,3.050000000053842,468401.05000000005
2024-02-08,3.050000000053842,468746.05000000005
2024-02-09,3.050000000053842,468746.05000000005
2024-02-10,3.050000000053842,468746.05000000005
2024-02-11,3.050000000053842,468236.05000000005
2024-02-12,826.5500000000538,468078.55000000005
2024-02-13,1491.0500000000538,467120.05000000005
2024-02-14,1491.0500000000538,468105.05000000005
2024-02-15,1491.0500000000538,468070.55000000005
2024-02-16,1491.0500000000538,468070.55000000005
2024-02-17,1491.0500000000538,468070.55000000005
2024-02-18,776.0500000000538,468482.05000000005
2024-02-19,776.0500000000538,467767.05000000005
2024-02-20,776.0500000000538,467305.05000000005
2024-02-21,11351.050000000054,456034.05000000005
2024-02-22,1223.0500000000538,475973.55000000005
2024-02-23,1223.0500000000538,465845.55000000005
2024-02-24,1223.0500000000538,465845.55000000005
2024-02-25,1223.0500000000538,464978.55000000005
2024-02-26,1529.0500000000538,465431.55000000005
2024-02-27,1529.0500000000538,465361.05000000005
2024-02-28,1529.0500000000538,464650.05000000005
2024-02-29,2055.550000000054,462968.55000000005
2024-03-01,2055.550000000054,463495.05000000005
2024-03-02,2055.550000000054,463495.05000000005
2024-03-03,1770.5500000000538,463315.05000000005
2024-03-04,1770.5500000000538,465299.55000000005
