SUMMARY
Metric,Value
Initial Investment,200000.00
Final Value,589364.92
Total Profit,389364.92
Return %,194.68%
Target Reached,Yes

TRADE HISTORY
Date,Stock,Action,Qty,Price,Total_Amount,Profit_Loss,Reason
2021-10-31,MFIL,BUY,118,1136.0,-134048.0,0.0,Trend Entry
2021-11-03,MLBL,SELL,239,803.0,191917.0,47561.0,Take Profit (25% gain)
2021-11-03,LBBL,BUY,252,641.4,-161632.8,0.0,Trend Entry
2021-11-08,RLI,BUY,54,562.0,-30348.0,0.0,Trend Entry
2021-11-11,MFIL,SELL,118,1038.0,122484.0,-11564.0,Trailing Stop (7% drop)
2021-11-11,LBBL,SELL,252,596.0,150192.0,-11440.799999999988,Trailing Stop (7% drop)
2021-11-11,RLI,SELL,54,520.0,28080.0,-2268.0,Trailing Stop (7% drop)
2021-11-11,MEGA,BUY,449,337.5,-151537.5,0.0,Trend Entry
2021-11-14,MLBL,BUY,190,785.0,-149150.0,0.0,Trend Entry
2021-11-17,MLBL,SELL,190,762.0,144780.0,-4370.0,Trailing Stop (7% drop)
2021-11-17,EDBL,BUY,221,657.0,-145197.0,0.0,Trend Entry
2021-11-23,NABIL,SELL,103,1537.0,158311.0,5665.0,Trailing Stop (7% drop)
2021-11-23,JOSHI,BUY,397,371.0,-147287.0,0.0,Trend Entry
2021-11-24,AKJCL,BUY,32,340.0,-10880.0,0.0,Trend Entry
2021-11-28,LICN,SELL,72,1921.1,138319.19999999998,-10720.800000000017,Trailing Stop (7% drop)
2021-11-28,EDBL,SELL,221,585.0,129285.0,-15912.0,Trailing Stop (7% drop)
2021-11-28,JOSHI,SELL,397,375.0,148875.0,1588.0,Trailing Stop (7% drop)
2021-11-28,ICFC,BUY,153,932.0,-142596.0,0.0,Trend Entry
2021-11-29,ICFC,SELL,153,838.8,128336.4,-14259.600000000006,Trailing Stop (7% drop)
2021-11-30,MEGA,SELL,449,285.0,127965.0,-23572.5,Trailing Stop (7% drop)
2021-11-30,ICFC,BUY,151,890.0,-134390.0,0.0,Trend Entry
2021-12-02,AKJCL,SELL,32,318.0,10176.0,-704.0,Trailing Stop (7% drop)
